accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.944444444,25,26,1,2,0.943396226,0.961538462,0.925925926,train,,,0.888888889,9,7,2,0,0.9,0.818181818,1,test
0.907407407,25,24,3,2,0.909090909,0.892857143,0.925925926,train,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,0.611111111,4,7,2,5,0.533333333,0.666666667,0.444444444,test
0.907407407,24,25,2,3,0.905660377,0.923076923,0.888888889,train,,,0.611111111,6,5,4,3,0.631578947,0.6,0.666666667,test
0.87037037,23,24,3,4,0.867924528,0.884615385,0.851851852,train,,,0.666666667,4,8,1,5,0.571428571,0.8,0.444444444,test
0.87037037,23,24,3,4,0.867924528,0.884615385,0.851851852,train,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.796296296,20,23,4,7,0.784313725,0.833333333,0.740740741,train,,,0.666666667,7,5,4,2,0.7,0.636363636,0.777777778,test
0.907407407,25,24,3,2,0.909090909,0.892857143,0.925925926,train,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
1,27,27,0,0,1,1,1,train,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.888888889,23,25,2,4,0.884615385,0.92,0.851851852,train,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,0.777777778,8,6,3,1,0.8,0.727272727,0.888888889,test
0.944444444,24,27,0,3,0.941176471,1,0.888888889,train,,,0.722222222,4,9,0,5,0.615384615,1,0.444444444,test
0.851851852,24,22,5,3,0.857142857,0.827586207,0.888888889,train,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.851851852,23,23,4,4,0.851851852,0.851851852,0.851851852,train,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.925925926,25,25,2,2,0.925925926,0.925925926,0.925925926,train,,,0.833333333,8,7,2,1,0.842105263,0.8,0.888888889,test
0.925925926,26,24,3,1,0.928571429,0.896551724,0.962962963,train,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.907407407,25,24,3,2,0.909090909,0.892857143,0.925925926,train,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
