accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.796296296,21,22,5,6,0.79245283,0.807692308,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.833333333,9,6,3,0,0.857142857,0.75,1,test
0.814814815,23,21,6,4,0.821428571,0.793103448,0.851851852,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.444444444,6,2,7,3,0.545454545,0.461538462,0.666666667,test
0.740740741,19,21,6,8,0.730769231,0.76,0.703703704,train,,,,0.333333333,4,2,7,5,0.4,0.363636364,0.444444444,test
0.759259259,23,18,9,4,0.779661017,0.71875,0.851851852,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.777777778,23,19,8,4,0.793103448,0.741935484,0.851851852,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.851851852,21,25,2,6,0.84,0.913043478,0.777777778,train,,,,0.611111111,3,8,1,6,0.461538462,0.75,0.333333333,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.5,6,3,6,3,0.571428571,0.5,0.666666667,test
0.796296296,23,20,7,4,0.807017544,0.766666667,0.851851852,train,,,,0.666666667,5,7,2,4,0.625,0.714285714,0.555555556,test
0.833333333,21,24,3,6,0.823529412,0.875,0.777777778,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.87037037,24,23,4,3,0.872727273,0.857142857,0.888888889,train,,,,0.555555556,4,6,3,5,0.5,0.571428571,0.444444444,test
0.796296296,22,21,6,5,0.8,0.785714286,0.814814815,train,,,,0.5,3,6,3,6,0.4,0.5,0.333333333,test
0.703703704,21,17,10,6,0.724137931,0.677419355,0.777777778,train,,,,0.5,4,5,4,5,0.470588235,0.5,0.444444444,test
0.759259259,21,20,7,6,0.763636364,0.75,0.777777778,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.796296296,22,21,6,5,0.8,0.785714286,0.814814815,train,,,,0.611111111,8,3,6,1,0.695652174,0.571428571,0.888888889,test
0.87037037,24,23,4,3,0.872727273,0.857142857,0.888888889,train,,,,0.555555556,5,5,4,4,0.555555556,0.555555556,0.555555556,test
0.833333333,23,22,5,4,0.836363636,0.821428571,0.851851852,train,,,,0.666666667,6,6,3,3,0.666666667,0.666666667,0.666666667,test
0.777777778,23,19,8,4,0.793103448,0.741935484,0.851851852,train,,,,0.777777778,7,7,2,2,0.777777778,0.777777778,0.777777778,test
0.907407407,24,25,2,3,0.905660377,0.923076923,0.888888889,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.925925926,25,25,2,2,0.925925926,0.925925926,0.925925926,train,,,,0.611111111,7,4,5,2,0.666666667,0.583333333,0.777777778,test
0.851851852,22,24,3,5,0.846153846,0.88,0.814814815,train,,,,0.611111111,5,6,3,4,0.588235294,0.625,0.555555556,test
0.907407407,24,25,2,3,0.905660377,0.923076923,0.888888889,train,,,,0.388888889,3,4,5,6,0.352941176,0.375,0.333333333,test
0.833333333,22,23,4,5,0.830188679,0.846153846,0.814814815,train,,,,0.555555556,3,7,2,6,0.428571429,0.6,0.333333333,test
