accuracy,TP,TN,FP,FN,f1_score,precision,recall,type,,,,accuracy,TP,TN,FP,FN,f1_score,precision,recall,type
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.888888889,8,8,1,1,0.888888889,0.888888889,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,25,27,0,2,0.961538462,1,0.925925926,train,,,,0.777777778,8,6,3,1,0.8,0.727272727,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.777777778,6,8,1,3,0.75,0.857142857,0.666666667,test
0.925925926,25,25,2,2,0.925925926,0.925925926,0.925925926,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.925925926,25,25,2,2,0.925925926,0.925925926,0.925925926,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
0.925925926,26,24,3,1,0.928571429,0.896551724,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.722222222,6,7,2,3,0.705882353,0.75,0.666666667,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,9,8,1,0,0.947368421,0.9,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.944444444,26,25,2,1,0.945454545,0.928571429,0.962962963,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.962962963,26,26,1,1,0.962962963,0.962962963,0.962962963,train,,,,0.888888889,7,9,0,2,0.875,1,0.777777778,test
0.944444444,26,25,2,1,0.945454545,0.928571429,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.981481481,26,27,0,1,0.981132075,1,0.962962963,train,,,,1,9,9,0,0,1,1,1,test
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,,0.722222222,5,8,1,4,0.666666667,0.833333333,0.555555556,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
0.888888889,24,24,3,3,0.888888889,0.888888889,0.888888889,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,1,9,9,0,0,1,1,1,test
1,27,27,0,0,1,1,1,train,,,,0.944444444,8,9,0,1,0.941176471,1,0.888888889,test
0.981481481,27,26,1,0,0.981818182,0.964285714,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,27,25,2,0,0.964285714,0.931034483,1,train,,,,1,9,9,0,0,1,1,1,test
0.962962963,25,27,0,2,0.961538462,1,0.925925926,train,,,,1,9,9,0,0,1,1,1,test
